CNTY_FIPS	CNTY_NAME	ST_NAME	MKT2015	CNTY_CWIFTEST	CNTY_CWIFTSE
01001	Autauga County	Alabama	01051	0.823	0.049
01003	Baldwin County	Alabama	01003	0.816	0.032
01005	Barbour County	Alabama	01109	0.899	0.045
01007	Bibb County	Alabama	01065	0.856	0.044
01009	Blount County	Alabama	01115	0.771	0.032
01011	Bullock County	Alabama	01113	0.86	0.037
01013	Butler County	Alabama	01041	0.855	0.048
01015	Calhoun County	Alabama	01015	0.797	0.025
01017	Chambers County	Alabama	01027	0.8	0.041
01019	Cherokee County	Alabama	01027	0.8	0.041
01021	Chilton County	Alabama	01027	0.8	0.041
01023	Choctaw County	Alabama	01119	0.853	0.048
01025	Clarke County	Alabama	01119	0.853	0.048
01027	Clay County	Alabama	01027	0.8	0.041
01029	Cleburne County	Alabama	01027	0.8	0.041
01031	Coffee County	Alabama	01031	0.804	0.049
01033	Colbert County	Alabama	01033	0.792	0.037
01035	Conecuh County	Alabama	01039	0.742	0.045
01037	Coosa County	Alabama	01027	0.8	0.041
01039	Covington County	Alabama	01039	0.742	0.045
01041	Crenshaw County	Alabama	01041	0.855	0.048
01043	Cullman County	Alabama	01043	0.871	0.039
01045	Dale County	Alabama	01045	0.833	0.027
01047	Dallas County	Alabama	01047	0.803	0.043
01049	DeKalb County	Alabama	01049	0.802	0.041
01051	Elmore County	Alabama	01051	0.823	0.049
01053	Escambia County	Alabama	01041	0.855	0.048
01055	Etowah County	Alabama	01055	0.727	0.032
01057	Fayette County	Alabama	01065	0.856	0.044
01059	Franklin County	Alabama	01093	0.824	0.041
01061	Geneva County	Alabama	01039	0.742	0.045
01063	Greene County	Alabama	01065	0.856	0.044
01065	Hale County	Alabama	01065	0.856	0.044
01067	Henry County	Alabama	01045	0.833	0.027
01069	Houston County	Alabama	01069	0.863	0.022
01071	Jackson County	Alabama	01049	0.802	0.041
01073	Jefferson County	Alabama	01073	0.917	0.008
01075	Lamar County	Alabama	01065	0.856	0.044
01077	Lauderdale County	Alabama	01077	0.826	0.044
01079	Lawrence County	Alabama	01093	0.824	0.041
01081	Lee County	Alabama	01081	0.856	0.027
01083	Limestone County	Alabama	01083	0.862	0.033
01085	Lowndes County	Alabama	01047	0.803	0.043
01087	Macon County	Alabama	01113	0.86	0.037
01089	Madison County	Alabama	01089	0.983	0.011
01091	Marengo County	Alabama	01065	0.856	0.044
01093	Marion County	Alabama	01093	0.824	0.041
01095	Marshall County	Alabama	01095	0.883	0.035
01097	Mobile County	Alabama	01097	0.855	0.014
01099	Monroe County	Alabama	01041	0.855	0.048
01101	Montgomery County	Alabama	01101	0.887	0.012
01103	Morgan County	Alabama	01103	0.87	0.029
01105	Perry County	Alabama	01065	0.856	0.044
01107	Pickens County	Alabama	01065	0.856	0.044
01109	Pike County	Alabama	01109	0.899	0.045
01111	Randolph County	Alabama	01027	0.8	0.041
01113	Russell County	Alabama	01113	0.86	0.037
01115	St. Clair County	Alabama	01115	0.771	0.032
01117	Shelby County	Alabama	01117	0.94	0.016
01119	Sumter County	Alabama	01119	0.853	0.048
01121	Talladega County	Alabama	01121	0.84	0.037
01123	Tallapoosa County	Alabama	01113	0.86	0.037
01125	Tuscaloosa County	Alabama	01125	0.886	0.021
01127	Walker County	Alabama	01115	0.771	0.032
01129	Washington County	Alabama	01119	0.853	0.048
01131	Wilcox County	Alabama	01047	0.803	0.043
01133	Winston County	Alabama	01093	0.824	0.041
02013	Aleutians East Borough	Alaska	02013	0.791	0.041
02016	Aleutians West Census Area	Alaska	02013	0.791	0.041
02020	Anchorage Municipality	Alaska	02020	1.094	0.014
02050	Bethel Census Area	Alaska	02013	0.791	0.041
02060	Bristol Bay Borough	Alaska	02013	0.791	0.041
02068	Denali Borough	Alaska	02261	0.859	0.044
02070	Dillingham Census Area	Alaska	02013	0.791	0.041
02090	Fairbanks North Star Borough	Alaska	02090	1.004	0.023
02100	Haines Borough	Alaska	99999	0.947	0.057
02105	Hoonah-Angoon Census Area	Alaska	99999	0.947	0.057
02110	Juneau City and Borough	Alaska	02110	1.072	0.032
02122	Kenai Peninsula Borough	Alaska	02122	0.99	0.038
02130	Ketchikan Gateway Borough	Alaska	02130	0.921	0.043
02150	Kodiak Island Borough	Alaska	02013	0.791	0.041
02158	Kusilvak Census Area	Alaska	02013	0.791	0.041
02164	Lake and Peninsula Borough	Alaska	02013	0.791	0.041
02170	Matanuska-Susitna Borough	Alaska	02170	0.889	0.038
02180	Nome Census Area	Alaska	02185	1.013	0.05
02185	North Slope Borough	Alaska	02185	1.013	0.05
02188	Northwest Arctic Borough	Alaska	02185	1.013	0.05
