CNTY_FIPS	CNTY_NAME	ST_NAME	MKT2015	CNTY_CWIFTEST	CNTY_CWIFTSE
01001	Autauga County	Alabama	01051	0.83	0.035
01003	Baldwin County	Alabama	01003	0.78	0.022
01005	Barbour County	Alabama	01109	0.827	0.033
01007	Bibb County	Alabama	01065	0.889	0.048
01009	Blount County	Alabama	01115	0.799	0.037
01011	Bullock County	Alabama	01113	0.742	0.055
01013	Butler County	Alabama	01041	0.889	0.06
01015	Calhoun County	Alabama	01015	0.81	0.028
01017	Chambers County	Alabama	01027	0.84	0.06
01019	Cherokee County	Alabama	01027	0.84	0.06
01021	Chilton County	Alabama	01027	0.84	0.06
01023	Choctaw County	Alabama	01119	0.77	0.043
01025	Clarke County	Alabama	01119	0.77	0.043
01027	Clay County	Alabama	01027	0.84	0.06
01029	Cleburne County	Alabama	01027	0.84	0.06
01031	Coffee County	Alabama	01031	0.787	0.046
01033	Colbert County	Alabama	01033	0.806	0.037
01035	Conecuh County	Alabama	01039	0.787	0.047
01037	Coosa County	Alabama	01027	0.84	0.06
01039	Covington County	Alabama	01039	0.787	0.047
01041	Crenshaw County	Alabama	01041	0.889	0.06
01043	Cullman County	Alabama	01043	0.853	0.047
01045	Dale County	Alabama	01045	0.798	0.026
01047	Dallas County	Alabama	01047	0.778	0.035
01049	DeKalb County	Alabama	01049	0.796	0.037
01051	Elmore County	Alabama	01051	0.83	0.035
01053	Escambia County	Alabama	01041	0.889	0.06
01055	Etowah County	Alabama	01055	0.677	0.041
01057	Fayette County	Alabama	01065	0.889	0.048
01059	Franklin County	Alabama	01093	0.741	0.037
01061	Geneva County	Alabama	01039	0.787	0.047
01063	Greene County	Alabama	01065	0.889	0.048
01065	Hale County	Alabama	01065	0.889	0.048
01067	Henry County	Alabama	01045	0.798	0.026
01069	Houston County	Alabama	01069	0.829	0.019
01071	Jackson County	Alabama	01049	0.796	0.037
01073	Jefferson County	Alabama	01073	0.916	0.009
01075	Lamar County	Alabama	01065	0.889	0.048
01077	Lauderdale County	Alabama	01077	0.838	0.044
01079	Lawrence County	Alabama	01093	0.741	0.037
01081	Lee County	Alabama	01081	0.774	0.025
01083	Limestone County	Alabama	01083	0.983	0.038
01085	Lowndes County	Alabama	01047	0.778	0.035
01087	Macon County	Alabama	01113	0.742	0.055
01089	Madison County	Alabama	01089	0.946	0.011
01091	Marengo County	Alabama	01065	0.889	0.048
01093	Marion County	Alabama	01093	0.741	0.037
01095	Marshall County	Alabama	01095	0.76	0.029
01097	Mobile County	Alabama	01097	0.86	0.015
01099	Monroe County	Alabama	01041	0.889	0.06
01101	Montgomery County	Alabama	01101	0.833	0.016
01103	Morgan County	Alabama	01103	0.817	0.028
01105	Perry County	Alabama	01065	0.889	0.048
01107	Pickens County	Alabama	01065	0.889	0.048
01109	Pike County	Alabama	01109	0.827	0.033
01111	Randolph County	Alabama	01027	0.84	0.06
01113	Russell County	Alabama	01113	0.742	0.055
01115	St. Clair County	Alabama	01115	0.799	0.037
01117	Shelby County	Alabama	01117	0.898	0.018
01119	Sumter County	Alabama	01119	0.77	0.043
01121	Talladega County	Alabama	01121	0.824	0.065
01123	Tallapoosa County	Alabama	01113	0.742	0.055
01125	Tuscaloosa County	Alabama	01125	0.875	0.022
01127	Walker County	Alabama	01115	0.799	0.037
01129	Washington County	Alabama	01119	0.77	0.043
01131	Wilcox County	Alabama	01047	0.778	0.035
01133	Winston County	Alabama	01093	0.741	0.037
02013	Aleutians East Borough	Alaska	02013	0.91	0.052
02016	Aleutians West Census Area	Alaska	02013	0.91	0.052
02020	Anchorage Municipality	Alaska	02020	1.05	0.016
02050	Bethel Census Area	Alaska	02013	0.91	0.052
02060	Bristol Bay Borough	Alaska	02013	0.91	0.052
02063	Chugach Census Area	Alaska	02261	0.996	0.069
02066	Copper River Census Area	Alaska	02261	0.996	0.069
02068	Denali Borough	Alaska	02261	0.996	0.069
02070	Dillingham Census Area	Alaska	02013	0.91	0.052
02090	Fairbanks North Star Borough	Alaska	02090	0.95	0.028
02100	Haines Borough	Alaska	99999	0.945	0.075
02105	Hoonah-Angoon Census Area	Alaska	99999	0.945	0.075
02110	Juneau City and Borough	Alaska	02110	0.97	0.042
02122	Kenai Peninsula Borough	Alaska	02122	0.889	0.032
02130	Ketchikan Gateway Borough	Alaska	02130	0.909	0.035
02150	Kodiak Island Borough	Alaska	02013	0.91	0.052
02158	Kusilvak Census Area	Alaska	02013	0.91	0.052
02164	Lake and Peninsula Borough	Alaska	02013	0.91	0.052
02170	Matanuska-Susitna Borough	Alaska	02170	0.996	0.033
02180	Nome Census Area	Alaska	02185	1.033	0.065
02185	North Slope Borough	Alaska	02185	1.033	0.065
02188	Northwest Arctic Borough	Alaska	02185	1.033	0.065
02195	Petersburg Borough	Alaska	99999	0.945	0.075
02198	Prince of Wales-Hyder Census Area	Alaska	99999	0.945	0.075
02220	Sitka City and Borough	Alaska	02220	0.965	0.06
02230	Skagway Municipality	Alaska	99999	0.945	0.075
02240	Southeast Fairbanks Census Area	Alaska	02261	0.996	0.069
02275	Wrangell City and Borough	Alaska	02130	0.909	0.035
02282	Yakutat City and Borough	Alaska	02261	0.996	0.069
02290	Yukon-Koyukuk Census Area	Alaska	02261	0.996	0.069
04001	Apache County	Arizona	04017	0.822	0.043
04003	Cochise County	Arizona	04003	0.891	0.027
04005	Coconino County	Arizona	04005	0.941	0.024
04007	Gila County	Arizona	04009	0.766	0.055
04009	Graham County	Arizona	04009	0.766	0.055
04011	Greenlee County	Arizona	04009	0.766	0.055
04012	La Paz County	Arizona	04015	0.863	0.032
04013	Maricopa County	Arizona	04013	0.974	0.005
04015	Mohave County	Arizona	04015	0.863	0.032
04017	Navajo County	Arizona	04017	0.822	0.043
04019	Pima County	Arizona	04019	0.897	0.008
04021	Pinal County	Arizona	04021	0.9	0.025
04023	Santa Cruz County	Arizona	04003	0.891	0.027
04025	Yavapai County	Arizona	04025	0.9	0.025
04027	Yuma County	Arizona	04027	0.882	0.035
05001	Arkansas County	Arkansas	05001	0.835	0.032
05003	Ashley County	Arkansas	05013	0.865	0.031
05005	Baxter County	Arkansas	05005	0.743	0.046
05007	Benton County	Arkansas	05007	1.089	0.024
05009	Boone County	Arkansas	05101	0.776	0.037
05011	Bradley County	Arkansas	05013	0.865	0.031
05013	Calhoun County	Arkansas	05013	0.865	0.031
05015	Carroll County	Arkansas	05101	0.776	0.037
05017	Chicot County	Arkansas	05117	0.861	0.041
05019	Clark County	Arkansas	05029	0.732	0.027
05021	Clay County	Arkansas	05075	0.801	0.033
05023	Cleburne County	Arkansas	05063	0.855	0.05
05025	Cleveland County	Arkansas	05001	0.835	0.032
05027	Columbia County	Arkansas	05103	0.908	0.054
05029	Conway County	Arkansas	05029	0.732	0.027
05031	Craighead County	Arkansas	05031	0.791	0.024
05033	Crawford County	Arkansas	05101	0.776	0.037
05035	Crittenden County	Arkansas	05035	0.855	0.033
05037	Cross County	Arkansas	05035	0.855	0.033
05039	Dallas County	Arkansas	05013	0.865	0.031
05041	Desha County	Arkansas	05117	0.861	0.041
05043	Drew County	Arkansas	05117	0.861	0.041
05045	Faulkner County	Arkansas	05045	0.837	0.03
