CNTY_FIPS	CNTY_NAME	ST_NAME	MKT2015	CNTY_CWIFTEST	CNTY_CWIFTSE
01001	Autauga County	Alabama	01051	0.784	0.044
01003	Baldwin County	Alabama	01003	0.836	0.03
01005	Barbour County	Alabama	01109	0.895	0.034
01007	Bibb County	Alabama	01065	0.785	0.044
01009	Blount County	Alabama	01115	0.763	0.034
01011	Bullock County	Alabama	01113	0.842	0.038
01013	Butler County	Alabama	01041	0.857	0.032
01015	Calhoun County	Alabama	01015	0.831	0.03
01017	Chambers County	Alabama	01027	0.832	0.04
01019	Cherokee County	Alabama	01027	0.832	0.04
01021	Chilton County	Alabama	01027	0.832	0.04
01023	Choctaw County	Alabama	01119	0.87	0.053
01025	Clarke County	Alabama	01119	0.87	0.053
01027	Clay County	Alabama	01027	0.832	0.04
01029	Cleburne County	Alabama	01027	0.832	0.04
01031	Coffee County	Alabama	01031	0.726	0.038
01033	Colbert County	Alabama	01033	0.799	0.037
01035	Conecuh County	Alabama	01039	0.739	0.049
01037	Coosa County	Alabama	01027	0.832	0.04
01039	Covington County	Alabama	01039	0.739	0.049
01041	Crenshaw County	Alabama	01041	0.857	0.032
01043	Cullman County	Alabama	01043	0.887	0.042
01045	Dale County	Alabama	01045	0.879	0.029
01047	Dallas County	Alabama	01047	0.793	0.05
01049	DeKalb County	Alabama	01049	0.73	0.036
01051	Elmore County	Alabama	01051	0.784	0.044
01053	Escambia County	Alabama	01041	0.857	0.032
01055	Etowah County	Alabama	01055	0.76	0.026
01057	Fayette County	Alabama	01065	0.785	0.044
01059	Franklin County	Alabama	01093	0.83	0.049
01061	Geneva County	Alabama	01039	0.739	0.049
01063	Greene County	Alabama	01065	0.785	0.044
01065	Hale County	Alabama	01065	0.785	0.044
01067	Henry County	Alabama	01045	0.879	0.029
01069	Houston County	Alabama	01069	0.865	0.019
01071	Jackson County	Alabama	01049	0.73	0.036
01073	Jefferson County	Alabama	01073	0.926	0.009
01075	Lamar County	Alabama	01065	0.785	0.044
01077	Lauderdale County	Alabama	01077	0.791	0.032
01079	Lawrence County	Alabama	01093	0.83	0.049
01081	Lee County	Alabama	01081	0.82	0.024
01083	Limestone County	Alabama	01083	0.843	0.034
01085	Lowndes County	Alabama	01047	0.793	0.05
01087	Macon County	Alabama	01113	0.842	0.038
01089	Madison County	Alabama	01089	0.976	0.01
01091	Marengo County	Alabama	01065	0.785	0.044
01093	Marion County	Alabama	01093	0.83	0.049
01095	Marshall County	Alabama	01095	0.855	0.039
01097	Mobile County	Alabama	01097	0.863	0.013
01099	Monroe County	Alabama	01041	0.857	0.032
01101	Montgomery County	Alabama	01101	0.886	0.015
01103	Morgan County	Alabama	01103	0.879	0.028
01105	Perry County	Alabama	01065	0.785	0.044
01107	Pickens County	Alabama	01065	0.785	0.044
01109	Pike County	Alabama	01109	0.895	0.034
